architecture,mlstm,slstm,window,total_seconds,seed,accuracy,balanced_accuracy,cohen_kappa,f1_weighted,auroc_macro_ovr,auroc_weighted_ovr,auroc_macro_ovo,auroc_weighted_ovo,aucpr_macro,aucpr_micro,checkpoint_type
sLSTM,False,True,2-2,5,456,0.7157,0.5328,0.4872,0.7338,0.8756,0.8881,0.8401,0.8697,0.4915,0.7709,bal_acc
sLSTM,False,True,2-2,5,456,0.7237,0.4521,0.4488,0.7068,0.8662,0.8705,0.8054,0.8554,0.4692,0.7732,loss
sLSTM,False,True,2-2,5,999,0.7095,0.5302,0.4682,0.7153,0.863,0.8687,0.8271,0.8584,0.5205,0.7802,bal_acc
sLSTM,False,True,2-2,5,999,0.6864,0.4618,0.4116,0.6929,0.8576,0.8745,0.8107,0.8501,0.4526,0.7515,loss
sLSTM,False,True,3-3,7,10,0.6569,0.4094,0.3585,0.6694,0.8469,0.8389,0.7924,0.8315,0.4604,0.7275,bal_acc
sLSTM,False,True,3-3,7,10,0.6972,0.4822,0.4479,0.7097,0.8474,0.8658,0.8,0.843,0.4632,0.75,loss
sLSTM,False,True,3-3,7,123,0.8032,0.5366,0.609,0.7965,0.8781,0.9163,0.8259,0.8771,0.5229,0.8665,bal_acc
sLSTM,False,True,3-3,7,123,0.7365,0.4883,0.4822,0.7294,0.8552,0.8724,0.8019,0.8471,0.496,0.7961,loss
sLSTM,False,True,3-3,7,42,0.6906,0.5355,0.4703,0.7168,0.8906,0.8946,0.8563,0.883,0.5305,0.7672,bal_acc
sLSTM,False,True,3-3,7,42,0.7443,0.4395,0.4639,0.7272,0.8784,0.904,0.8163,0.8711,0.475,0.835,loss
sLSTM,False,True,3-3,7,456,0.6894,0.4511,0.4353,0.7039,0.8689,0.8803,0.8215,0.8553,0.4362,0.7533,bal_acc
sLSTM,False,True,3-3,7,456,0.7178,0.4675,0.4847,0.7291,0.8929,0.8988,0.8448,0.8745,0.4878,0.7858,loss
sLSTM,False,True,3-3,7,999,0.6967,0.4898,0.4569,0.7123,0.8949,0.904,0.8563,0.8863,0.5142,0.7748,bal_acc
sLSTM,False,True,3-3,7,999,0.7145,0.449,0.4367,0.7085,0.8649,0.8823,0.8018,0.8569,0.4831,0.7984,loss
sLSTM,False,True,4-4,9,10,0.6505,0.4748,0.3936,0.6749,0.8626,0.8657,0.8215,0.8518,0.4426,0.7282,bal_acc
sLSTM,False,True,4-4,9,10,0.7084,0.4427,0.47,0.7231,0.8506,0.8939,0.799,0.8478,0.4479,0.783,loss
sLSTM,False,True,4-4,9,123,0.7472,0.5038,0.5446,0.76,0.8496,0.9006,0.7985,0.8454,0.4544,0.8033,bal_acc
sLSTM,False,True,4-4,9,123,0.7472,0.5038,0.5446,0.76,0.8496,0.9006,0.7985,0.8454,0.4544,0.8033,loss
sLSTM,False,True,4-4,9,42,0.7423,0.5279,0.4898,0.7365,0.8819,0.9,0.8322,0.8759,0.5384,0.8332,bal_acc
sLSTM,False,True,4-4,9,42,0.7009,0.4764,0.4102,0.6877,0.8739,0.8652,0.8183,0.8602,0.5175,0.7829,loss
sLSTM,False,True,4-4,9,456,0.7356,0.5757,0.5289,0.7551,0.8835,0.9072,0.846,0.8792,0.4852,0.8143,bal_acc
sLSTM,False,True,4-4,9,456,0.7152,0.482,0.4734,0.7196,0.839,0.882,0.7902,0.8396,0.4182,0.7649,loss
sLSTM,False,True,4-4,9,999,0.6937,0.5407,0.4378,0.7014,0.8768,0.8702,0.8377,0.8667,0.5068,0.7672,bal_acc
sLSTM,False,True,4-4,9,999,0.7182,0.5554,0.4983,0.7357,0.9044,0.9038,0.862,0.8889,0.5622,0.7861,loss
mLSTM,True,False,2-2,5,10,0.7143,0.4689,0.4018,0.6967,0.8206,0.8226,0.7674,0.8123,0.4535,0.7598,bal_acc
mLSTM,True,False,2-2,5,10,0.6792,0.4751,0.3962,0.6759,0.8478,0.8442,0.7909,0.8371,0.474,0.7471,loss
mLSTM,True,False,2-2,5,123,0.6929,0.4836,0.4209,0.6946,0.8194,0.8608,0.7739,0.8241,0.4654,0.768,bal_acc
mLSTM,True,False,2-2,5,123,0.7114,0.4467,0.4234,0.6923,0.8545,0.8712,0.7913,0.8426,0.4762,0.7891,loss
mLSTM,True,False,2-2,5,42,0.6961,0.5318,0.4149,0.6926,0.8734,0.852,0.8343,0.8609,0.5297,0.7708,bal_acc
mLSTM,True,False,2-2,5,42,0.6809,0.4293,0.3527,0.6624,0.861,0.8446,0.81,0.8432,0.489,0.7516,loss
mLSTM,True,False,2-2,5,456,0.7047,0.5215,0.473,0.7233,0.8779,0.877,0.8429,0.8659,0.4928,0.7644,bal_acc
mLSTM,True,False,2-2,5,456,0.7259,0.4601,0.4554,0.7194,0.8472,0.8697,0.7851,0.8397,0.4674,0.7911,loss
mLSTM,True,False,2-2,5,999,0.7008,0.5408,0.4835,0.7263,0.8764,0.8826,0.8325,0.8651,0.4938,0.7709,bal_acc
mLSTM,True,False,2-2,5,999,0.7481,0.4513,0.4714,0.7318,0.8551,0.861,0.8031,0.8404,0.5191,0.809,loss
mLSTM,True,False,3-3,7,10,0.7016,0.4723,0.4586,0.7219,0.822,0.8657,0.7823,0.8253,0.479,0.7218,bal_acc
mLSTM,True,False,3-3,7,10,0.7152,0.4586,0.4888,0.7278,0.8247,0.8835,0.7683,0.8293,0.4516,0.7817,loss
mLSTM,True,False,3-3,7,123,0.7107,0.4969,0.4886,0.7322,0.821,0.8698,0.7779,0.8195,0.4581,0.7657,bal_acc
mLSTM,True,False,3-3,7,123,0.7502,0.5499,0.5389,0.7582,0.8839,0.8967,0.8444,0.877,0.5414,0.8172,loss
mLSTM,True,False,3-3,7,42,0.7013,0.5336,0.4751,0.7235,0.8805,0.8779,0.8447,0.8655,0.4927,0.7828,bal_acc
mLSTM,True,False,3-3,7,42,0.7273,0.47,0.4664,0.7259,0.8552,0.8608,0.8068,0.8448,0.4691,0.7709,loss
mLSTM,True,False,3-3,7,456,0.7194,0.5391,0.4813,0.7347,0.8623,0.8573,0.8254,0.8513,0.4945,0.7854,bal_acc
mLSTM,True,False,3-3,7,456,0.7183,0.4551,0.445,0.715,0.8258,0.8637,0.7709,0.8278,0.4635,0.7866,loss
mLSTM,True,False,3-3,7,999,0.7215,0.4913,0.4684,0.7227,0.8568,0.8677,0.8197,0.8453,0.4931,0.7942,bal_acc
mLSTM,True,False,3-3,7,999,0.746,0.5252,0.539,0.7571,0.8774,0.8948,0.8381,0.8664,0.528,0.8151,loss
mLSTM,True,False,4-4,9,10,0.6845,0.4479,0.3879,0.6792,0.8272,0.8486,0.786,0.8236,0.4331,0.7587,bal_acc
mLSTM,True,False,4-4,9,10,0.7104,0.4449,0.4415,0.7142,0.8247,0.8538,0.7715,0.8207,0.4421,0.7491,loss
mLSTM,True,False,4-4,9,123,0.6935,0.5339,0.4718,0.7232,0.8232,0.8711,0.7913,0.8255,0.5009,0.7615,bal_acc
mLSTM,True,False,4-4,9,123,0.726,0.4533,0.4885,0.7401,0.8525,0.8846,0.7962,0.8435,0.4703,0.8012,loss
mLSTM,True,False,4-4,9,42,0.6846,0.3868,0.348,0.6722,0.79,0.8347,0.7451,0.793,0.4455,0.7426,bal_acc
mLSTM,True,False,4-4,9,42,0.7129,0.3661,0.4013,0.69,0.8558,0.8723,0.806,0.8407,0.4278,0.8019,loss
mLSTM,True,False,4-4,9,456,0.7186,0.5304,0.5021,0.7389,0.879,0.8843,0.8443,0.8681,0.4944,0.7886,bal_acc
mLSTM,True,False,4-4,9,456,0.7282,0.48,0.4767,0.7322,0.8649,0.8735,0.8227,0.8517,0.4685,0.7992,loss
mLSTM,True,False,4-4,9,999,0.7077,0.421,0.3992,0.6958,0.8055,0.8335,0.7504,0.8023,0.4215,0.7447,bal_acc
mLSTM,True,False,4-4,9,999,0.6826,0.4496,0.4389,0.7084,0.8178,0.8583,0.7608,0.8162,0.4215,0.7489,loss
mLSTM+sLSTM,True,True,2-2,5,10,0.6815,0.479,0.3892,0.6783,0.8518,0.8562,0.802,0.8414,0.5005,0.7626,bal_acc
